Ticker,Entrada,Precio Ent.,Precio Hoy,P&L%,P&L EUR,Dias,Dev yhat%,SL Ref $,TP Ref $,Dist TP%,Dist SL%,Estado,Nota
MNST,2026-07-25,93.56,93.56,-0,-0,1,-1.6,86.08,99.86,6.7,-8,⏳ Activa,Test
EBAY,2026-07-26,109.32,109.32,-0,-0,0,-7,100.57,123.47,12.9,-8,⏳ Activa,"95,73 Euros - Precio real 96,69"
